Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type,cpv_principal,cpv_supplementaires,nombre_lots,lots_detail,criteres_attribution,duree_reelle,options_reconduction,departements_publication,annonce_numero,conflits_detectes
13/joue/002671162026,Mise à disposition et gestion du workplace IT,-,-,-,RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,,RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002671162026-2026-mise-disposition-gestion.html,,[2026-05-16 02:00:27] title: weborama_from_3 → 'Mise à disposition et gestion du workplace IT'; [2026-05-16 02:00:27] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/002708922026,"Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés.",-,-,-,UNICANCER ACHATS,,UNICANCER ACHATS,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002708922026-2026-fourniture-prestation-service.html,,[2026-05-16 02:00:27] title: weborama_from_3 → 'Fourniture d'une prestation de service relative à ...'; [2026-05-16 02:00:27] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/002845752026,"MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV.",-,-,-,EPPGHV,,EPPGHV,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002845752026-2026-marche-prestations-maintenance.html,,[2026-05-16 02:00:28] title: weborama_from_3 → 'MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ...'; [2026-05-16 02:00:28] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/002850982026,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,-,-,VILLE de PARIS - DFA - SDA,,VILLE de PARIS - DFA - SDA,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002850982026-2026-accord-cadre-bons.html,,[2026-05-16 02:00:28] title: weborama_from_3 → 'Accord-cadre à bons de commande pour le maintien e...'; [2026-05-16 02:00:28] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/002925532026,"Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes",-,-,-,Parlement Wallon,,Parlement Wallon,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002925532026-2026-marche-public-relatif.html,,[2026-05-16 02:00:28] title: weborama_from_3 → 'Marché public relatif à la mise à disposition d'un...'; [2026-05-16 02:00:28] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/002929142026,Accompagnement à la convergence des systèmes d'information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris,-,-,-,Conservatoire national des arts et métiers -Cnam,,Conservatoire national des arts et métiers -Cnam,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002929142026-2026-accompagnement-convergence-systemes.html,,[2026-05-16 02:00:28] title: weborama_from_3 → 'Accompagnement à la convergence des systèmes d'inf...'; [2026-05-16 02:00:28] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/002939872026,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement",-,-,-,Institut Français,,Institut Français,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002939872026-2026-marche-pour-maintenance.html,,"[2026-05-16 02:00:28] title: weborama_from_3 → 'Marché pour la maintenance applicative, corrective...'; [2026-05-16 02:00:28] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/002946202026,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",-,-,-,Institut géographique national,,Institut géographique national,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002946202026-2026-continuite-exploitation-hebergement?q=h%C3%A9bergement web.html,,"[2026-05-16 02:00:28] title: weborama_from_3 → 'La continuité, l'exploitation, l'hébergement, la m...'; [2026-05-16 02:00:28] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/002946822026,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,-,-,-,SICIO,,SICIO,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue002946822026-2026-renouvellement-maintenance-serveurs.html,,[2026-05-16 02:00:28] title: weborama_from_3 → 'Renouvellement et maintenance des serveurs de sauv...'; [2026-05-16 02:00:28] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,,,,,,,,,,
13/joue/003036002026,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),-,-,-,Compagnie Nationale du Rhône,,Compagnie Nationale du Rhône,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003036002026-2026-accord-cadre-infrastructure.html,,[2026-05-16 02:00:28] title: weborama_from_3 → 'Accord-cadre Infrastructure hyperconvergée et VDI ...'; [2026-05-16 02:00:28] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,,,,,,,,,,
